rule_id,source_material_id,source_material_name,application,target_industry,compatibility_score,reason
R001,M001,Sawdust,Particleboard/MDF raw input,Furniture Manufacturing,0.85,Sawdust is a standard raw input for pressed-wood board manufacturing
R002,M001,Sawdust,Biomass fuel pellets,Biomass Fuel Manufacturing,0.90,Widely used feedstock for wood pellet and briquette production
R003,M001,Sawdust,Animal bedding material,Dairy,0.55,Fine sawdust is a common low-cost livestock bedding material
R004,M002,Wood Chips,Biomass power fuel,Biomass Power,0.90,Established solid biomass fuel for power generation plants
R005,M002,Wood Chips,Particleboard raw input,Furniture Manufacturing,0.75,Chipped wood is a base raw material for particleboard pressing
R006,M002,Wood Chips,Mulch/landscaping material,Agriculture,0.55,Wood chips are commonly reused as ground-cover mulch
R007,M003,Wood Shavings,Biomass fuel,Biomass Fuel Manufacturing,0.80,Low-moisture shavings are suitable pellet and briquette feedstock
R008,M003,Wood Shavings,Animal bedding material,Dairy,0.55,Curled wood shavings are a standard livestock bedding material
R009,M004,Bark,Biomass fuel,Biomass Power,0.60,Usable as boiler fuel though with lower calorific value than clean wood
R010,M004,Bark,Mulch/soil amendment,Agriculture,0.50,Bark is a common landscaping mulch and soil cover material
R011,M005,Fly Ash,Supplementary cementitious material,Cement Manufacturing,0.95,Fly ash is an established SCM replacing part of clinker content
R012,M005,Fly Ash,Brick raw material,Brick Manufacturing,0.90,Fly ash bricks are a well-documented construction product
R013,M005,Fly Ash,Concrete admixture,Concrete Products,0.85,Used as partial cement replacement in ready-mix concrete
R014,M005,Fly Ash,Road embankment fill,Road Construction,0.65,Engineered fly ash fill is used in road embankment construction
R015,M006,Bottom Ash,Road base/embankment fill,Road Construction,0.70,Established use as structural fill in road sub-base layers
R016,M006,Bottom Ash,Concrete aggregate substitute,Concrete Products,0.55,Usable as partial fine aggregate replacement in select concrete mixes
R017,M007,Cement Kiln Dust,Limited raw feed recycle,Cement Manufacturing,0.40,Reusable only in controlled proportions due to alkali content
R018,M008,Clinker Dust,Cement raw feed,Cement Manufacturing,0.75,Fine clinker particles can be reintroduced into kiln feed
R019,M009,Steel Slag,Cement admixture,Cement Manufacturing,0.85,Steel slag is a documented supplementary cementitious material
R020,M009,Steel Slag,Concrete aggregate,Concrete Products,0.80,Used as partial aggregate replacement in structural concrete
R021,M009,Steel Slag,Road base material,Road Construction,0.75,Common use as a stable and compactable road sub-base aggregate
R022,M010,Mill Scale,Sinter feed/iron recovery,Steel Manufacturing,0.50,Reusable in-process but requires specific handling for iron recovery
R023,M011,Metal Shavings,Furnace remelt input,Steel Manufacturing,0.85,Clean metal shavings are standard remelt feedstock
R024,M012,Metal Offcuts,Furnace remelt input,Steel Manufacturing,0.85,Offcuts are directly remeltable scrap metal
R025,M012,Metal Offcuts,Fabrication scrap resale,Steel Fabrication,0.60,Larger offcuts are reusable for smaller fabricated parts
R026,M013,Plastic Scrap,Recycled pellet production,Plastic Recycling,0.85,Standard feedstock for shredding and pelletizing operations
R027,M013,Plastic Scrap,Plastic road surfacing,Road Construction,0.60,Shredded plastic scrap is used in plastic-modified road construction
R028,M013,Plastic Scrap,Construction panel raw material,Construction Materials,0.55,Shredded plastic scrap is usable in composite construction panels
R029,M014,Plastic Flakes,Pellet manufacturing input,Plastic Manufacturing,0.90,Flakes are a direct precursor to reprocessed pellets
R030,M015,Plastic Pellets,Direct manufacturing input,Plastic Manufacturing,0.95,Recycled pellets substitute directly for virgin resin
R031,M016,Plastic Film,Film/packaging recycling,Plastic Packaging,0.70,Reusable in packaging film production after cleaning
